name,place,lon,lat,elevation_m,at_risk
Vecindario,neighbourhood,-15.4405441,27.8494562,91.0,False
La Plata,hamlet,-15.6073569,27.9361154,1192.0,False
Pasadilla,hamlet,-15.4713084,27.9461632,726.0,False
Ingenio,town,-15.4357949,27.9183781,270.0,False
Agüimes,town,-15.4445131,27.9049541,285.0,False
Telde,town,-15.4166761,27.9984538,153.0,False
Tejeda,village,-15.6153664,27.9953756,1059.0,False
Artenara,village,-15.6465416,28.0200099,1237.0,False
Vergara,neighbourhood,-15.6230898,28.1027426,647.0,False
Teror,town,-15.5475653,28.0590002,592.0,False
Miraflor,hamlet,-15.5272699,28.0679237,419.0,False
San Agustín,suburb,-15.5516326,27.7671023,11.0,False
Tigaiga,village,-16.5967584,28.3833744,309.0,False
Icod El Alto,village,-16.6110765,28.3845717,556.0,False
Barroso,hamlet,-16.5925117,28.3826594,292.0,False
Realejo Bajo,hamlet,-16.5878234,28.3848167,278.0,False
Plaza Padre Hilario,square,-15.4199709,28.1110889,24.0,False
Las Vegas,hamlet,-16.5472767,28.1460047,651.0,False
Las Helecheras,locality,-16.397668,28.436303,1157.0,False
Icod de los Vinos,town,-16.7176389,28.3680548,238.0,False
El Terrero,hamlet,-16.6140878,28.3942763,38.0,False
San Juan de la Rambla,hamlet,-16.6493385,28.3937629,67.0,False
Puerto de Erjos,locality,-16.8050696,28.3141684,1104.0,False
Plaza La Paz,locality,-16.4067512,28.4332866,1170.0,False
Tegueste,town,-16.3407638,28.5232609,376.0,False
Ifonche,hamlet,-16.6899543,28.1348676,1028.0,False
Portillo el Topo,locality,-16.476764,28.3656258,1581.0,False
Plaza del Calvario,square,-15.5332612,28.1187678,276.0,False
Puerto de Tazacorte,village,-17.9459682,28.6516505,15.0,False
San Pedro de Breña Alta,village,-17.7867588,28.6637814,359.0,False
Velhoco,hamlet,-17.784018,28.6901955,336.0,False
Los Cancajos,hamlet,-17.7588803,28.648872,25.0,False
Puerto Espíndola,village,-17.7633166,28.8096331,16.0,False
Plaza La Quisisana,square,-17.7696599,28.6804296,58.0,False
Cuatro Caminos,locality,-16.4839733,28.3991757,1044.0,False
Unnamed settlement,square,-15.4530057,28.0802506,267.0,False
Cruz de Luis,locality,-16.5755195,28.3411879,1206.0,False
El Remo,hamlet,-17.8885664,28.5529423,12.0,False
Puerto Naos,hamlet,-17.910201,28.5858953,15.0,False
Tazacorte,village,-17.9326028,28.642858,126.0,False
Chamorga,hamlet,-16.159067,28.5699607,481.0,False
Casas de Tafada,isolated_dwelling,-16.1526917,28.5771524,596.0,False
Hoya del Abade,locality,-16.4426923,28.4151836,1070.0,False
